name,conn_Ni,conn_YSZ,conn_Pore,total_tpb,active_tpb,active_tpb_frac,tau_Ni,tau_YSZ,tau_Pore
structure_0021,0.9956542042714598,0.9998071042779985,0.0,0.23918151855468747,0.0,0.0,2.5689680576324463,1.9424241781234741,nan
structure_0022,0.9987881236113917,0.9997878101155162,0.0,0.3753662109375,0.0,0.0,1.8932372331619263,1.9956715106964111,nan
structure_0023,0.9993775772193262,0.9991657897979884,0.0,0.2751541137695312,0.0,0.0,2.1910011768341064,2.8470962047576904,nan
structure_0024,0.9977867755550218,0.9994677714006243,0.0,0.18733978271484372,0.0,0.0,2.0870673656463623,1.809597373008728,nan
structure_0025,0.9990493555877632,0.9960077070032494,0.0,0.252838134765625,0.0,0.0,2.4734878540039062,2.5141518115997314,nan
structure_0026,0.9910707522157413,0.9995010287011025,0.0,0.153350830078125,0.0,0.0,2.6384778022766113,1.73500657081604,nan
structure_0027,0.9966518173821752,0.9995886695901336,0.0,0.28179168701171875,0.0,0.0,2.678833246231079,1.7815325260162354,nan
structure_0028,0.9911470785359169,0.9997142534372654,0.0,0.22884368896484372,0.0,0.0,4.240917682647705,1.8917195796966553,nan
structure_0029,0.9980185092738374,0.9951944844618235,0.0,0.335540771484375,0.0,0.0,2.0237998962402344,2.3836734294891357,nan
structure_0030,0.999146107674148,0.9994850669412977,0.0,0.2085113525390625,0.0,0.0,2.3434131145477295,1.9609684944152832,nan
structure_0031,0.998202045173615,0.9998746284947307,0.0,0.22857666015624997,0.0,0.0,2.1235365867614746,1.7364397048950195,nan
structure_0032,0.9954098549169175,0.9999331930387146,0.0,0.1607513427734375,0.0,0.0,2.9862051010131836,1.763313889503479,nan
structure_0033,0.9940507421762605,0.9999374794854562,0.0,0.27614593505859375,0.0,0.0,1.886362075805664,1.9649494886398315,nan
structure_0034,0.9941332679068827,0.990917262427359,0.0,0.33336639404296875,0.0,0.0,2.1783323287963867,2.956265449523926,nan
structure_0035,0.9955198274594382,0.9999862702428107,0.0,0.26638031005859375,0.0,0.0,3.312711000442505,1.7147265672683716,nan
structure_0036,0.9997118858181334,0.9994661304243373,0.0,0.24810791015624997,0.0,0.0,1.9598768949508667,2.5838661193847656,nan
structure_0037,0.9982955322039894,0.9972551193841288,0.0,0.23868560791015625,0.0,0.0,2.762429714202881,2.925604820251465,nan
structure_0038,0.9941876182752095,0.9998785973521443,0.0,0.07434844970703125,0.0,0.0,2.3287386894226074,1.4688433408737183,nan
structure_0039,0.998156003809194,0.9998152691159519,0.0,0.28652191162109375,0.0,0.0,2.580449104309082,2.250525951385498,nan
structure_0040,0.9988759012549508,0.9992073047614062,0.0,0.23815155029296875,0.0,0.0,2.3196544647216797,1.7738937139511108,nan
structure_0041,0.9945953692140767,0.9994984015730126,0.0,0.21350860595703125,0.0,0.0,2.4986023902893066,1.5379937887191772,nan
structure_0042,0.9985132115499987,0.9995745347873793,0.0,0.21820068359374997,0.0,0.0,2.4715449810028076,2.0760128498077393,nan
structure_0043,0.9940362107143522,0.9997894396990391,0.0,0.22804260253906247,0.0,0.0,2.1124844551086426,1.697674036026001,nan
structure_0044,0.995095545680529,0.9999208792947708,0.0,0.12828826904296875,0.0,0.0,2.357754707336426,1.715294361114502,nan
structure_0045,0.999885617550843,0.9992430344613413,0.8741148701809599,0.290374755859375,0.15960693359375,0.5496584340514976,2.0691885948181152,3.26203989982605,30.341215133666992
structure_0046,0.9994347948957631,0.9995448090018572,0.0,0.19622802734375,0.0,0.0,1.9731029272079468,2.112316370010376,nan
structure_0047,0.9986871228634187,0.9988560063405661,0.0,0.19905090332031247,0.0,0.0,1.6860648393630981,1.5351390838623047,nan
structure_0048,0.9949473528923639,1.0,0.0,0.0881195068359375,0.0,0.0,2.5285139083862305,1.7175019979476929,nan
structure_0049,0.9986815556186854,0.9970079583044512,0.0,0.18421173095703122,0.0,0.0,1.6278713941574097,1.8127357959747314,nan
structure_0050,0.9955734052532833,0.9995660663918421,0.9545749896627089,0.15857696533203125,0.115814208984375,0.7303343757517441,2.305342197418213,1.7335951328277588,14.352781295776367
